Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year,Boro,BORO_NM
3-01149-7501,892 BERGEN STREET,CROWN HEIGHTS,R4-CONDOMINIUM,65,2009.0,36200,946992,257020.0,689972,5349991.0,2015,3,BROOKLYN
3-01152-7504,238 ST MARK'S AVENUE,PROSPECT HEIGHTS,R4-CONDOMINIUM,20,2008.0,15992,411314,148086.0,263228,2038000.0,2015,3,BROOKLYN
3-01153-7501,324 ST MARK'S AVENUE,PROSPECT HEIGHTS,R4-CONDOMINIUM,8,2006.0,8882,265128,123193.0,141935,1115000.0,2015,3,BROOKLYN
3-01154-7501,364 ST MARK'S AVENUE,CROWN HEIGHTS,R4-CONDOMINIUM,18,2005.0,17209,366380,147997.0,218383,1647001.0,2015,3,BROOKLYN
3-01155-7502,442 ST MARK'S AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,12,1931.0,10784,274453,104713.0,169740,1313001.0,2015,3,BROOKLYN
3-01160-7501,330 PROSPECT PLACE,PROSPECT HEIGHTS,R4-CONDOMINIUM,51,1931.0,40755,1003388,449935.0,553453,4262993.0,2015,3,BROOKLYN
3-01164-7502,222 PARK PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,14,2004.0,24639,624106,282856.0,341250,2638000.0,2015,3,BROOKLYN
3-01167-7501,475 STERLING PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,45,2006.0,50018,915329,269597.0,645732,4735999.0,2015,3,BROOKLYN
3-01169-7502,399 FLATBUSH AVENUE,PROSPECT HEIGHTS,R2-CONDOMINIUM,3,1910.0,1613,57713,26969.0,30744,244000.0,2015,3,BROOKLYN
3-01171-7501,44 BUTLER PLACE,PROSPECT HEIGHTS,R4-CONDOMINIUM,60,1925.0,67038,1198639,679095.0,519544,3789997.0,2015,3,BROOKLYN
3-01171-7502,34 BUTLER PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,48,2005.0,32139,663992,216938.0,447054,3354990.0,2015,3,BROOKLYN
3-01171-7503,20 BUTLER PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,48,1916.0,43424,818108,278782.0,539326,3976996.0,2015,3,BROOKLYN
3-01172-7501,286 ST JOHNS PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,16,1912.0,11174,237336,84028.0,153308,1155999.0,2015,3,BROOKLYN
3-01173-7502,427 ST JOHN'S PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,16,1912.0,16104,415483,178271.0,237212,1837000.0,2015,3,BROOKLYN
3-01173-7503,355 ST JOHN'S PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,16,1909.0,13385,288447,60233.0,228214,1724000.0,2015,3,BROOKLYN
3-01178-7501,524 ST JOHN'S PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,13,2007.0,10809,230988,115008.0,115980,875002.0,2015,3,BROOKLYN
3-01178-7502,823 CLASSON AVENUE,CROWN HEIGHTS,R4-CONDOMINIUM,24,1925.0,20471,515255,258549.0,256706,1982000.0,2015,3,BROOKLYN
3-01201-7501,1311 PACIFIC STREET,CROWN HEIGHTS,R4-CONDOMINIUM,32,2010.0,28344,454071,188488.0,265583,1886996.0,2015,3,BROOKLYN
3-01206-7501,1206 PACIFIC STREET,CROWN HEIGHTS,R2-CONDOMINIUM,32,1915.0,30455,485148,201612.0,283536,2011997.0,2015,3,BROOKLYN
3-01219-7501,1062 BERGEN STREET,CROWN HEIGHTS,R2-CONDOMINIUM,16,1900.0,13680,199728,119016.0,80712,559999.0,2015,3,BROOKLYN
3-01223-7501,943 ST MARK'S AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,19,2009.0,14940,260554,82618.0,177936,1291004.0,2015,3,BROOKLYN
3-01226-7501,715 PROSPECT PLACE,CROWN HEIGHTS,R2-CONDOMINIUM,16,2006.0,17827,435514,117480.0,318034,2449002.0,2015,3,BROOKLYN
3-01231-7501,1448 BEDFORD AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,9,1900.0,7867,160329,75287.0,85042,635997.0,2015,3,BROOKLYN
3-01232-7501,1443 BEDFORD AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,14,1989.0,15495,328804,116213.0,212591,1602002.0,2015,3,BROOKLYN
3-01233-7501,765 PARK PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,9,2007.0,9370,236499,71212.0,165287,1277001.0,2015,3,BROOKLYN
3-01245-7501,1492 BEDFORD AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,24,1910.0,25165,533246,181188.0,352058,2653996.0,2015,3,BROOKLYN
3-01254-7502,794 ST JOHN'S PLACE,CROWN HEIGHTS,R2-CONDOMINIUM,16,1910.0,7983,191592,96355.0,95237,731000.0,2015,3,BROOKLYN
3-01270-7502,636 EASTERN PARKWAY,CROWN HEIGHTS,R4-CONDOMINIUM,12,1910.0,27608,694341,347033.0,347308,2682002.0,2015,3,BROOKLYN
3-01276-7501,1229 PRESIDENT STREET,CROWN HEIGHTS,R2-CONDOMINIUM,12,1987.0,22128,469335,247170.0,222165,1674006.0,2015,3,BROOKLYN
3-01305-7501,958 NOSTRAND AVENUE,CROWN HEIGHTS,RR-CONDOMINIUM,98,2009.0,104962,3005062,1216510.0,1788552,13997000.0,2015,3,BROOKLYN
3-01314-7501,149 8 AVENUE,FLATBUSH-LEFFERTS GARDEN,R2-CONDOMINIUM,16,1916.0,17680,418839,221000.0,197839,1516004.0,2015,3,BROOKLYN
3-01332-7502,575 EAST NEW YORK AVENUE,FLATBUSH-NORTH,R4-CONDOMINIUM,21,2004.0,41697,750129,354008.0,396121,2892997.0,2015,3,BROOKLYN
3-01333-7501,605 EAST NEW YORK AVENUE,FLATBUSH-NORTH,R4-CONDOMINIUM,50,2001.0,67889,1027161,490159.0,537002,3762000.0,2015,3,BROOKLYN
3-01376-7501,273 ALBANY AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,13,1906.0,8136,170368,90310.0,80058,601999.0,2015,3,BROOKLYN
3-01426-7501,645 LEFFERTS AVENUE,FLATBUSH-NORTH,R2-CONDOMINIUM,22,1925.0,30700,411073,213979.0,197094,1331999.0,2015,3,BROOKLYN
3-01427-7501,762 EMPIRE BOULEVARD,FLATBUSH-NORTH,R4-CONDOMINIUM,30,1993.0,30360,451150,210091.0,241059,1682005.0,2015,3,BROOKLYN
3-01429-7502,770 LEFFERTS AVENUE,FLATBUSH-NORTH,R4-CONDOMINIUM,30,1998.0,50668,701245,337449.0,363796,2484990.0,2015,3,BROOKLYN
3-01474-7501,1812 ST JOHN'S PLACE,OCEAN HILL,R2-CONDOMINIUM,12,2012.0,23273,594160,284862.0,309298,2392002.0,2015,3,BROOKLYN
3-01498-7501,723 MAC DONOUGH STREET,OCEAN HILL,R2-CONDOMINIUM,12,1910.0,13640,299398,152768.0,146630,1110996.0,2015,3,BROOKLYN
3-01498-7501,876 MACON STREET,OCEAN HILL,R2-CONDOMINIUM,8,1910.0,6450,134096,75272.0,58824,442000.0,2015,3,BROOKLYN
3-01498-7501,741 MAC DONOUGH STREET,OCEAN HILL,R2-CONDOMINIUM,3,1910.0,4500,96435,53730.0,42705,321999.0,2015,3,BROOKLYN
3-01498-7501,733 MAC DONOUGH STREET,OCEAN HILL,R2-CONDOMINIUM,3,1910.0,4500,103185,42615.0,60570,462000.0,2015,3,BROOKLYN
3-01498-7501,756 MAC DONOUGH STREET,OCEAN HILL,R2-CONDOMINIUM,6,1910.0,10140,217300,121072.0,96228,726000.0,2015,3,BROOKLYN
3-01509-7501,472 BAINBRIDGE STREET,OCEAN HILL,R2-CONDOMINIUM,60,1992.0,58281,894031,539682.0,354349,2491995.0,2015,3,BROOKLYN
3-01509-7502,419 CHAUNCEY STREET,OCEAN HILL,R2-CONDOMINIUM,24,1906.0,32087,619921,314453.0,305468,2263995.0,2015,3,BROOKLYN
3-01515-7501,365 MARION STREET,OCEAN HILL,R2-CONDOMINIUM,20,1995.0,25632,481882,260165.0,221717,1633996.0,2015,3,BROOKLYN
3-01521-7501,117 HOPKINSON AVENUE,OCEAN HILL,R2-CONDOMINIUM,15,1995.0,11050,192160,66521.0,125639,910998.0,2015,3,BROOKLYN
3-01526-7501,246 SUMPTER STREET,OCEAN HILL,R2-CONDOMINIUM,12,1996.0,15335,227725,97531.0,130194,907008.0,2015,3,BROOKLYN
3-01535-7501,249 HULL STREET,OCEAN HILL,R2-CONDOMINIUM,40,1900.0,42820,589631,300596.0,289035,1971006.0,2015,3,BROOKLYN
3-01593-7501,417 HART STREET,BEDFORD STUYVESANT,R2-CONDOMINIUM,16,2005.0,15600,297804,115440.0,182364,1348997.0,2015,3,BROOKLYN
3-01603-7501,85 STUYVESANT AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,24,1903.0,24880,440625,248800.0,191825,1395987.0,2015,3,BROOKLYN
3-01625-7501,172 STUYVESANT AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,18,1993.0,22659,359372,93808.0,265564,1882996.0,2015,3,BROOKLYN
3-01648-7501,782 MADISON STREET,BEDFORD STUYVESANT,R2-CONDOMINIUM,18,1931.0,20070,368285,169592.0,198693,1457002.0,2015,3,BROOKLYN
3-01710-7501,1825 ATLANTIC AVENUE,BEDFORD STUYVESANT,RR-CONDOMINIUM,150,2008.0,153706,3515256,1066720.0,2448536,18667000.0,2015,3,BROOKLYN
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,1,2000.0,14647,327214,110585.0,216629,1646000.0,2015,3,BROOKLYN
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2000.0,14869,340649,114045.0,226604,1728004.0,2015,3,BROOKLYN
3-01715-7505,464 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,9,2004.0,8670,225507,66932.0,158575,1229000.0,2015,3,BROOKLYN
3-01715-7506,773 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2007.0,19240,460798,156614.0,304184,2334003.0,2015,3,BROOKLYN
3-01715-7507,777 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2007.0,19028,351257,73829.0,277428,2037996.0,2015,3,BROOKLYN
3-01715-7508,789 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2008.0,19030,445492,153762.0,291730,2231000.0,2015,3,BROOKLYN
3-01715-7509,783 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2008.0,18158,431797,152527.0,279270,2139996.0,2015,3,BROOKLYN
3-01734-7503,689 MYRTLE AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,45,1947.0,48243,1108624,561066.0,547558,4177000.0,2015,3,BROOKLYN
3-01734-7504,835 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,10,2003.0,16833,384634,134327.0,250307,1907998.0,2015,3,BROOKLYN
3-01734-7504,108 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,4,2003.0,6977,174774,56723.0,118051,911001.0,2015,3,BROOKLYN
3-01734-7504,108 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,4,2003.0,8445,195080,83352.0,111728,853001.0,2015,3,BROOKLYN
3-01734-7504,104 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,5,2003.0,7463,192919,57092.0,135827,1051999.0,2015,3,BROOKLYN
3-01734-7504,104 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,5,2003.0,8270,203359,80219.0,123140,948001.0,2015,3,BROOKLYN
3-01734-7505,805 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2003.0,21442,481802,164246.0,317556,2414998.0,2015,3,BROOKLYN
3-01734-7506,100 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,24,2006.0,33600,727104,236544.0,490560,3710008.0,2015,3,BROOKLYN
3-01734-7509,809 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2003.0,20470,460166,156800.0,303366,2307003.0,2015,3,BROOKLYN
3-01734-7510,82 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,20,2003.0,13496,308923,107833.0,201090,1532997.0,2015,3,BROOKLYN
3-01734-7512,78 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2003.0,12338,287352,96730.0,190622,1457001.0,2015,3,BROOKLYN
3-01734-7513,74 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2003.0,12110,282042,94942.0,187100,1429998.0,2015,3,BROOKLYN
3-01734-7515,86 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,6,2004.0,12164,284516,96096.0,188420,1440999.0,2015,3,BROOKLYN
3-01734-7516,90 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2004.0,16013,260051,96078.0,163973,1170004.0,2015,3,BROOKLYN
3-01755-7501,834 MYRTLE AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,36,2003.0,58244,1408340,563219.0,845121,6494000.0,2015,3,BROOKLYN
3-01755-7502,886 MYRTLE AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,16,2006.0,11808,297089,142050.0,155039,1197004.0,2015,3,BROOKLYN
3-01755-7503,585 MARCY AVENUE,BEDFORD STUYVESANT,RR-CONDOMINIUM,72,2011.0,52077,1247765,578575.0,669190,5135000.0,2015,3,BROOKLYN
3-01763-7501,191 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,18,2004.0,24200,619036,199166.0,419870,3249004.0,2015,3,BROOKLYN
3-01763-7502,209 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,18,2004.0,24200,461252,221188.0,240064,1774998.0,2015,3,BROOKLYN
3-01763-7503,197 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,18,2004.0,24200,619036,199166.0,419870,3249000.0,2015,3,BROOKLYN
3-01763-7504,195 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,18,2004.0,24200,619036,199166.0,419870,3248998.0,2015,3,BROOKLYN
3-01763-7505,201 SPENCER STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,18,2004.0,24200,585156,187308.0,397848,3056999.0,2015,3,BROOKLYN
3-01771-7501,118 HART STREET,BEDFORD STUYVESANT,R2-CONDOMINIUM,16,2009.0,25340,626658,203227.0,423431,3263996.0,2015,3,BROOKLYN
3-01781-7501,794 DE KALB AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,32,2006.0,23344,447504,183951.0,263553,1951002.0,2015,3,BROOKLYN
3-01787-7501,775 LAFAYETTE AVENUE,BEDFORD STUYVESANT,R9-CONDOMINIUM,90,2010.0,123348,2268370,821498.0,1446872,10618000.0,2015,3,BROOKLYN
3-01788-7502,552 LAFAYETTE AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,15,2009.0,10161,250265,98054.0,152211,1173001.0,2015,3,BROOKLYN
3-01840-7501,582 THROOP AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,13,1910.0,11030,162803,69048.0,93755,652000.0,2015,3,BROOKLYN
3-01884-7501,773 KENT AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2009.0,27630,297575,133729.0,163846,1025002.0,2015,3,BROOKLYN
3-01885-7501,53 FRANKLIN AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,10,2002.0,13115,270956,80788.0,190168,1427000.0,2015,3,BROOKLYN
3-01885-7502,42 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,20,2004.0,25423,565153,176436.0,388717,2951000.0,2015,3,BROOKLYN
3-01885-7503,38 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,10,2004.0,13007,273927,84546.0,189381,1426000.0,2015,3,BROOKLYN
3-01886-7506,35 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,48,2012.0,83319,1783027,539907.0,1243120,9382992.0,2015,3,BROOKLYN
3-01887-7502,95 VANDERBILT AVENUE,CLINTON HILL,R2-CONDOMINIUM,24,1991.0,60350,1091732,420036.0,671696,4912005.0,2015,3,BROOKLYN
3-01890-7501,163 WASHINGTON AVENUE,CLINTON HILL,R4-CONDOMINIUM,49,2009.0,53178,1377310,666320.0,710990,5509005.0,2015,3,BROOKLYN
3-01893-7501,72 STEUBEN STREET,CLINTON HILL,R4-CONDOMINIUM,10,2007.0,11935,281308,99061.0,182247,1394999.0,2015,3,BROOKLYN
3-01893-7502,73 GRAND AVENUE,CLINTON HILL,R2-CONDOMINIUM,19,2005.0,20695,622713,207985.0,414728,3260999.0,2015,3,BROOKLYN
3-01894-7501,111 STEUBEN STREET,CLINTON HILL,R4-CONDOMINIUM,35,2006.0,34487,802168,227959.0,574209,4388001.0,2015,3,BROOKLYN
3-01897-7508,609 MYRTLE AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,18,2005.0,20620,530965,171146.0,359819,2785999.0,2015,3,BROOKLYN
3-01898-7501,86 FRANKLIN AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,7,2006.0,9965,261980,78325.0,183655,1425002.0,2015,3,BROOKLYN
3-01899-7501,128 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2002.0,17958,398847,124449.0,274398,2083004.0,2015,3,BROOKLYN
3-01899-7502,102 SKILLMAN STREET,BEDFORD STUYVESANT,R2-CONDOMINIUM,4,2003.0,7968,196730,104062.0,92668,713999.0,2015,3,BROOKLYN
3-01899-7503,94 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2002.0,15531,280024,85731.0,194293,1419999.0,2015,3,BROOKLYN
3-01899-7504,88 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,5,2006.0,10746,256185,100045.0,156140,1196999.0,2015,3,BROOKLYN
3-01900-7502,876 BEDFORD AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,12,2004.0,14095,272879,97819.0,175060,1298002.0,2015,3,BROOKLYN
3-01900-7505,858 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,10,2004.0,13470,290413,94425.0,195988,1481003.0,2015,3,BROOKLYN
3-01900-7508,111 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2003.0,17274,383656,101226.0,282430,2144001.0,2015,3,BROOKLYN
3-01900-7509,79 SKILLMAN AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,10,2006.0,19639,547535,172038.0,375497,2932998.0,2015,3,BROOKLYN
3-01900-7510,107 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2004.0,20930,465065,145045.0,320020,2429006.0,2015,3,BROOKLYN
3-01903-7501,446 MYRTLE AVENUE,CLINTON HILL,R9-CONDOMINIUM,14,1900.0,15401,202831,60064.0,142767,960000.0,2015,3,BROOKLYN
3-01913-7507,664 MYRTLE AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2003.0,15957,412488,121911.0,290577,2251000.0,2015,3,BROOKLYN
3-01913-7508,662 MYRTLE AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,5,2004.0,6127,181727,65620.0,116107,912001.0,2015,3,BROOKLYN
3-01913-7512,189 FRANKLIN AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,16,2006.0,17259,383322,101138.0,282184,2142002.0,2015,3,BROOKLYN
3-01914-7505,898 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,17,2008.0,20790,612473,283991.0,328482,2578000.0,2015,3,BROOKLYN
3-01914-7506,153 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,8,2008.0,10624,257844,129188.0,128656,989001.0,2015,3,BROOKLYN
3-01924-7501,263 CLASSON AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,95,1920.0,130468,2062699,617114.0,1445585,10238019.0,2015,3,BROOKLYN
3-01925-7501,970 KENT AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,103,1930.0,107974,2371109,620851.0,1750258,13266004.0,2015,3,BROOKLYN
3-01926-7503,234 FRANKLIN AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,8,2007.0,8327,207092,69947.0,137145,1058003.0,2015,3,BROOKLYN
3-01927-7501,222 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,67,2003.0,76541,1590522,585539.0,1004983,7548011.0,2015,3,BROOKLYN
3-01928-7501,239 SKILLMAN STREET,BEDFORD STUYVESANT,R2-CONDOMINIUM,15,2010.0,25855,306123,83512.0,222611,1443004.0,2015,3,BROOKLYN
3-01931-7501,320 WASHINGTON AVENUE,CLINTON HILL,R4-CONDOMINIUM,25,1900.0,29054,593864,259162.0,334702,2505998.0,2015,3,BROOKLYN
3-01941-7501,260 SKILLMAN STREET,BEDFORD STUYVESANT,R4-CONDOMINIUM,32,2006.0,40106,866691,297185.0,569506,4305998.0,2015,3,BROOKLYN
3-01949-7501,367 CLASSON AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,19,2006.0,11899,284505,111018.0,173487,1331001.0,2015,3,BROOKLYN
3-01952-7501,233 GREENE AVENUE,CLINTON HILL,R2-CONDOMINIUM,12,1905.0,11700,370890,103545.0,267345,2109999.0,2015,3,BROOKLYN
3-01953-7501,315 GREENE AVENUE,BEDFORD STUYVESANT,R2-CONDOMINIUM,48,2010.0,54674,961716,278291.0,683425,4967996.0,2015,3,BROOKLYN
3-01953-7502,136 CLIFTON PLACE,BEDFORD STUYVESANT,R2-CONDOMINIUM,32,2010.0,38305,672636,201101.0,471535,3425992.0,2015,3,BROOKLYN
3-01957-7501,415 CARLTON AVENUE,FORT GREENE,R2-CONDOMINIUM,31,1988.0,40875,860010,235849.0,624161,4699992.0,2015,3,BROOKLYN
3-01960-7501,430 CLINTON AVENUE,CLINTON HILL,R4-CONDOMINIUM,48,1930.0,38056,667883,203600.0,464283,3375006.0,2015,3,BROOKLYN
3-01966-7502,252 GREENE AVENUE,CLINTON HILL,R2-CONDOMINIUM,12,1930.0,9280,138922,67373.0,71549,499998.0,2015,3,BROOKLYN
3-01966-7503,242 GREENE AVENUE,CLINTON HILL,R2-CONDOMINIUM,13,1930.0,20857,561262,216704.0,344558,2680000.0,2015,3,BROOKLYN
3-01967-7503,95 LEXINGTON AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,20,1910.0,29817,467232,132089.0,335143,2369006.0,2015,3,BROOKLYN
3-01967-7504,105 LEXINGTON AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,32,1930.0,50008,890642,324552.0,566090,4126015.0,2015,3,BROOKLYN
3-01969-7501,319 GRAND AVENUE,CLINTON HILL,R2-CONDOMINIUM,48,1957.0,59400,1349568,440748.0,908820,6924000.0,2015,3,BROOKLYN
3-01969-7503,27 QUINCY STREET,CLINTON HILL,R2-CONDOMINIUM,16,1939.0,15921,411080,198216.0,212864,1649002.0,2015,3,BROOKLYN
3-01972-7501,420 CLASSON AVENUE,CLINTON HILL,R2-CONDOMINIUM,12,1899.0,10734,238509,85872.0,152637,1159002.0,2015,3,BROOKLYN
3-01974-7501,1122 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,72,2009.0,79381,2267121,841439.0,1425682,11157997.0,2015,3,BROOKLYN
3-01979-7501,226 ST JAMES PLACE,CLINTON HILL,R2-CONDOMINIUM,8,1920.0,7370,158971,60876.0,98095,741002.0,2015,3,BROOKLYN
3-01979-7502,483 WASHINGTON AVENUE,CLINTON HILL,R4-CONDOMINIUM,16,2007.0,18039,280326,103183.0,177143,1024998.0,2015,3,BROOKLYN
3-01984-7501,13 IRVING PLACE,CLINTON HILL,R2-CONDOMINIUM,16,2006.0,11725,263461,83834.0,179627,1367002.0,2015,3,BROOKLYN
3-01986-7501,1142 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,29,2009.0,24001,546023,251050.0,294973,2247003.0,2015,3,BROOKLYN
3-01992-7501,82 IRVING PLACE,CLINTON HILL,R4-CONDOMINIUM,28,2011.0,35755,653601,350399.0,303202,2222000.0,2015,3,BROOKLYN
3-02000-7501,124 BEDFORD AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,43,2003.0,32500,663975,263250.0,400725,3001990.0,2015,3,BROOKLYN
3-02004-7501,212 SOUTH OXFORD STREET,FORT GREENE,R9-CONDOMINIUM,80,2009.0,110828,2457057,948688.0,1508369,11449000.0,2015,3,BROOKLYN
3-02011-7501,525 CLINTON AVENUE,CLINTON HILL,RR-CONDOMINIUM,33,2006.0,45907,661061,235503.0,425558,2941000.0,2015,3,BROOKLYN
3-02013-7501,555 WASHINGTON AVENUE,CLINTON HILL,R2-CONDOMINIUM,53,1915.0,63540,1151345,301180.0,850165,6215991.0,2015,3,BROOKLYN
3-02013-7502,310 ST JAMES PLACE,CLINTON HILL,R2-CONDOMINIUM,11,2005.0,12942,345940,108066.0,237874,1849001.0,2015,3,BROOKLYN
3-02013-7503,545 WASHINGTON AVENUE,CLINTON HILL,R4-CONDOMINIUM,64,2009.0,66778,1874458,667112.0,1207346,9432014.0,2015,3,BROOKLYN
3-02014-7502,940 FULTON STREET,CLINTON HILL,R2-CONDOMINIUM,12,1930.0,8100,131058,60750.0,70308,501000.0,2015,3,BROOKLYN
3-02016-7501,1078 FULTON STREET,BEDFORD STUYVESANT,RR-CONDOMINIUM,45,2011.0,40115,1250385,480979.0,769406,6067000.0,2015,3,BROOKLYN
3-02033-7501,130 FLUSHING AVENUE,NAVY YARD,RR-CONDOMINIUM,112,2012.0,223184,4271742,1709589.0,2562153,18955000.0,2015,3,BROOKLYN
3-02044-7501,80 ADELPHI STREET,FORT GREENE,R4-CONDOMINIUM,13,2007.0,8888,214290,83725.0,130565,1002996.0,2015,3,BROOKLYN
3-02045-7501,150 CLERMONT AVENUE,FORT GREENE,RR-CONDOMINIUM,52,2010.0,77467,2819799,500437.0,2319362,18449000.0,2015,3,BROOKLYN
3-02049-7501,176 JOHNSON STREET,DOWNTOWN-METROTECH,R4-CONDOMINIUM,56,1926.0,58179,1270048,313585.0,956463,7244003.0,2015,3,BROOKLYN
3-02058-7501,101 WILLOUGHBY STREET,DOWNTOWN-METROTECH,R4-CONDOMINIUM,251,1918.0,332324,8696919,3027472.0,5669447,43970001.0,2015,3,BROOKLYN
3-02060-7501,150 MYRTLE AVENUE,DOWNTOWN-METROTECH,R4-CONDOMINIUM,240,2007.0,202727,5098584,1323807.0,3774777,29142024.0,2015,3,BROOKLYN
3-02075-7501,181 CLERMONT AVENUE,FORT GREENE,R4-CONDOMINIUM,74,2007.0,85404,2132538,1016308.0,1116230,8617011.0,2015,3,BROOKLYN
3-02095-7501,1 ROCKWELL PLACE,FORT GREENE,R2-CONDOMINIUM,30,1900.0,34820,842296,329049.0,513247,3944003.0,2015,3,BROOKLYN
3-02095-7502,230 ASHLAND PLACE,FORT GREENE,R4-CONDOMINIUM,108,2006.0,118153,3593033,1604518.0,1988515,15640998.0,2015,3,BROOKLYN
3-02101-7501,69 SOUTH OXFORD STREET,FORT GREENE,R4-CONDOMINIUM,22,1931.0,21120,582701,264634.0,318067,2482004.0,2015,3,BROOKLYN
3-02101-7503,264 CUMBERLAND STREET,FORT GREENE,R2-CONDOMINIUM,13,1925.0,17910,510435,156713.0,353722,2769002.0,2015,3,BROOKLYN
